=== Enumerating S with e_3 = 0 (identity in Z[ζ_36]), n=36 ===

  6-element S with 0∈S and e_3=0: 136 aligned + 1416 non-aligned = 1552 total

--- Non-aligned S with e_3=0 ---
                                       S        N(e1)        N(e4)      gcd               primes
----------------------------------------------------------------------------------------------------
                  (0, 2, 11, 19, 20, 29)            1            1        1                   []
                  (0, 2, 11, 19, 26, 33)         5329          109        1                   []
                  (0, 2, 11, 20, 21, 29)            1            1        1                   []
                  (0, 2, 11, 20, 22, 29)            9            1        1                   []
                  (0, 2, 11, 20, 23, 29)            1            1        1                   []
                  (0, 2, 11, 20, 24, 29)            1            1        1                   []
                  (0, 2, 11, 20, 25, 29)            1            1        1                   []
                  (0, 2, 11, 20, 26, 29)            9            1        1                   []
                  (0, 2, 11, 20, 27, 29)           64            1        1                   []
                  (0, 2, 11, 20, 28, 29)            1            1        1                   []
                  (0, 2, 11, 20, 29, 30)          729            1        1                   []
                  (0, 2, 11, 20, 29, 31)            1            1        1                   []
                  (0, 2, 11, 20, 29, 32)            1            1        1                   []
                  (0, 2, 11, 20, 29, 33)            1            1        1                   []
                  (0, 2, 11, 20, 29, 34)            9            1        1                   []
                  (0, 2, 11, 20, 29, 35)            1            1        1                   []
                  (0, 2, 11, 21, 34, 35)         5329          109        1                   []
                  (0, 2, 12, 14, 18, 28)           81            9        9                   []
                  (0, 2, 12, 14, 22, 32)           81            9        9                   []
                  (0, 2, 12, 17, 24, 35)            1            1        1                   []
                  (0, 2, 12, 18, 24, 34)           81           81       81                   []
                  (0, 2, 12, 19, 24, 33)          181          181      181                [181]
                  (0, 2, 12, 20, 24, 32)            1            1        1                   []
                  (0, 2, 12, 20, 26, 34)           81            9        9                   []
                  (0, 2, 12, 21, 24, 31)          181          181      181                [181]
                  (0, 2, 12, 22, 24, 30)           81           81       81                   []
                  (0, 2, 12, 23, 24, 29)         2197         2197     2197                   []
                  (0, 2, 12, 24, 25, 27)          181          181      181                [181]
                  (0, 2, 13, 18, 23, 34)            1         1369        1                   []
                  (0, 2, 13, 23, 24, 33)         5329          109        1                   []
                  (0, 2, 13, 24, 26, 31)            9            1        1                   []
                  (0, 2, 14, 15, 22, 33)            1         1369        1                   []
                  (0, 2, 14, 18, 22, 34)            1            1        1                   []
                  (0, 2, 14, 24, 32, 34)           81            9        9                   []
                  (0, 2, 14, 25, 26, 35)          181          181      181                [181]
                  (0, 2, 14, 26, 27, 33)         2197         2197     2197                   []
                  (0, 2, 14, 26, 28, 32)           81           81       81                   []
                  (0, 2, 14, 26, 29, 31)          181          181      181                [181]
                  (0, 2, 15, 18, 21, 34)            1         1369        1                   []
                  (0, 2, 15, 26, 33, 34)            1         1369        1                   []
                  (0, 2, 15, 28, 30, 33)            9        83521        1                   []
                  (0, 2, 16, 30, 32, 34)         6561           81       81                   []
                  (0, 2, 17, 18, 19, 34)            1            1        1                   []
                  (0, 2, 17, 32, 34, 35)            9            1        1                   []
                     (0, 3, 4, 5, 8, 22)            1         1369        1                   []
                    (0, 3, 4, 9, 18, 27)            1            1        1                   []
                   (0, 3, 4, 11, 12, 24)           37           37       37                 [37]
                   (0, 3, 4, 12, 21, 30)            1            1        1                   []
                   (0, 3, 4, 13, 22, 31)            1            1        1                   []
                   (0, 3, 4, 15, 23, 27)           37           37       37                 [37]
                   (0, 3, 4, 16, 27, 28)            1            1        1                   []
                   (0, 3, 4, 18, 32, 33)            1         1369        1                   []
                    (0, 3, 5, 7, 10, 23)            1         1369        1                   []
                    (0, 3, 5, 9, 18, 27)            9            1        1                   []
                   (0, 3, 5, 10, 12, 24)          181          181      181                [181]
                   (0, 3, 5, 10, 17, 26)         5329          109        1                   []
                   (0, 3, 5, 12, 21, 30)            1            1        1                   []
                   (0, 3, 5, 14, 22, 29)         5329          109        1                   []
                   (0, 3, 5, 14, 23, 32)            1            1        1                   []
                   (0, 3, 5, 15, 22, 27)          181          181      181                [181]
                   (0, 3, 5, 16, 26, 27)         5329          109        1                   []
                   (0, 3, 5, 17, 18, 25)            1         1369        1                   []
                   (0, 3, 5, 17, 29, 30)         2197         2197     2197                   []
                   (0, 3, 5, 18, 31, 33)            9        83521        1                   []
                    (0, 3, 6, 7, 21, 35)            1         1369        1                   []
                    (0, 3, 6, 8, 21, 34)            9        83521        1                   []
                    (0, 3, 6, 9, 12, 24)           64           64       64                   []
                    (0, 3, 6, 9, 18, 27)            1            1        1                   []
                    (0, 3, 6, 9, 21, 33)           64           64       64                   []
                   (0, 3, 6, 10, 21, 32)            9        83521        1                   []
                   (0, 3, 6, 11, 21, 31)            1         1369        1                   []
                   (0, 3, 6, 12, 21, 30)          729            1        1                   []
                   (0, 3, 6, 13, 21, 29)            1         1369        1                   []
                   (0, 3, 6, 14, 21, 28)            9            1        1                   []
                   (0, 3, 6, 15, 21, 27)           64           64       64                   []
                   (0, 3, 6, 15, 24, 33)            1            1        1                   []
                   (0, 3, 6, 16, 21, 26)            9            1        1                   []
                   (0, 3, 6, 17, 21, 25)            1         1369        1                   []
                   (0, 3, 6, 18, 30, 33)           64           64       64                   []
                   (0, 3, 6, 19, 21, 23)            1         1369        1                   []
                   (0, 3, 6, 20, 21, 22)            9        83521        1                   []
                    (0, 3, 7, 8, 12, 24)           37           37       37                 [37]
                    (0, 3, 7, 9, 18, 27)            1            1        1                   []
                   (0, 3, 7, 11, 14, 25)            1            1        1                   []
                   (0, 3, 7, 12, 21, 30)            1            1        1                   []
                   (0, 3, 7, 15, 20, 27)           37           37       37                 [37]
                   (0, 3, 7, 16, 25, 34)            1            1        1                   []
                   (0, 3, 7, 18, 29, 33)            9        83521        1                   []
                    (0, 3, 8, 9, 18, 27)            1            1        1                   []
                   (0, 3, 8, 12, 21, 30)            1            1        1                   []
                   (0, 3, 8, 13, 16, 26)            1            1        1                   []
                   (0, 3, 8, 15, 19, 27)           37           37       37                 [37]
                   (0, 3, 8, 17, 26, 35)            1            1        1                   []
                   (0, 3, 8, 18, 28, 33)            1         1369        1                   []
                   (0, 3, 9, 10, 18, 27)            1            1        1                   []
                   (0, 3, 9, 10, 22, 34)         2197         2197     2197                   []
                   (0, 3, 9, 11, 18, 27)            1            1        1                   []
                   (0, 3, 9, 12, 18, 27)           64            1        1                   []
                   (0, 3, 9, 12, 21, 30)           64            1        1                   []
                   (0, 3, 9, 13, 18, 27)            9            1        1                   []
                   (0, 3, 9, 14, 18, 27)            1            1        1                   []
                   (0, 3, 9, 15, 18, 27)            1            1        1                   []
                   (0, 3, 9, 16, 18, 27)            1            1        1                   []
                   (0, 3, 9, 17, 18, 27)            9            1        1                   []
                   (0, 3, 9, 18, 19, 27)            1            1        1                   []
                   (0, 3, 9, 18, 20, 27)            1            1        1                   []
                   (0, 3, 9, 18, 22, 27)            1            1        1                   []
                   (0, 3, 9, 18, 23, 27)            1            1        1                   []
                   (0, 3, 9, 18, 24, 27)            1            1        1                   []
                   (0, 3, 9, 18, 25, 27)            9            1        1                   []
                   (0, 3, 9, 18, 26, 27)            1            1        1                   []
                   (0, 3, 9, 18, 27, 28)            1            1        1                   []
                   (0, 3, 9, 18, 27, 29)            9            1        1                   []
                   (0, 3, 9, 18, 27, 30)           64            1        1                   []
                   (0, 3, 9, 18, 27, 31)            1            1        1                   []
                   (0, 3, 9, 18, 27, 32)            1            1        1                   []
                   (0, 3, 9, 18, 27, 33)          729            1        1                   []
                   (0, 3, 9, 18, 27, 34)            1            1        1                   []
                   (0, 3, 9, 18, 27, 35)            1            1        1                   []
                  (0, 3, 10, 11, 12, 25)         5329          109        1                   []
                  (0, 3, 10, 12, 21, 30)            9            1        1                   []
                  (0, 3, 10, 15, 17, 27)          181          181      181                [181]
                  (0, 3, 10, 17, 20, 28)            1         1369        1                   []
                  (0, 3, 10, 17, 25, 34)         5329          109        1                   []
                  (0, 3, 10, 18, 26, 33)            1         1369        1                   []
                  (0, 3, 10, 21, 22, 26)            1         1369        1                   []
                  (0, 3, 11, 12, 21, 30)            1            1        1                   []
                  (0, 3, 11, 12, 23, 35)            1            1        1                   []
                  (0, 3, 11, 15, 16, 27)           37           37       37                 [37]
                  (0, 3, 11, 18, 25, 33)            9            1        1                   []
                  (0, 3, 11, 19, 22, 29)            1         1369        1                   []
                  (0, 3, 12, 13, 21, 30)            1            1        1                   []
                  (0, 3, 12, 13, 23, 34)         5329          109        1                   []
